1,5312719.5308,579478.9224,659.9689,
2,5312719.5276,579478.9260,659.9842,1
3,5312719.5383,579478.8982,660.0486,1
4,5312719.5518,579478.9301,659.9845,4
5,5312855.5131,579736.2460,657.9348,4
6,5312855.5168,579736.2257,657.9664,4
7,5312855.5175,579736.2317,657.9616,4
8,5312855.5201,579736.2339,657.9562,4
9,5312925.0215,579858.9913,657.6362,4
10,5312925.0203,579858.9931,657.6150,4
11,5312925.0171,579858.9934,657.6007,4
12,5312925.0435,579859.0039,657.6835,4
13,5312925.0461,579859.0020,657.6716,4
14,5313012.9707,579921.7031,656.4005,4
15,5313012.9727,579921.7028,656.3833,4
16,5313012.9727,579921.6963,656.3680,4
17,5313045.7076,579923.3828,655.8463,
18,5313045.7082,579923.3797,655.8464,
19,5313045.7117,579923.3793,655.8389,
20,5312719.5904,579478.7794,662.2443,42
21,5312719.5871,579478.7830,662.2416,42
22,5312719.5844,579478.7801,662.2395,42
23,5312719.1785,579479.9059,663.1536,42
24,5312719.5462,579478.9162,659.9849,
25,5312719.5475,579478.9145,659.9883,
26,5312855.5136,579736.2523,657.9770,
27,5312855.5113,579736.2523,657.9770,
28,5312855.5094,579736.2524,657.9721,
29,5312924.9989,579858.9754,657.6040,
30,5312924.9972,579858.9774,657.5977,
31,5312924.9932,579858.9812,657.5932,
32,5313012.9811,579921.8262,656.5381,
33,5313012.9814,579921.8226,656.5291,
34,5313012.9824,579921.8199,656.5252,
35,5313013.1120,579922.0247,656.1180,
36,5313013.1156,579922.0142,656.1532,
37,5313045.6716,579923.3997,655.9566,
38,5313045.6775,579923.4040,655.9611,
39,5313045.6912,579923.4096,655.9155,
40,5313045.7520,579923.4608,655.7284,
41,5313045.7457,579923.4665,655.6948,
42,5313045.7134,579923.4579,655.8252,
43,5313013.0659,579921.7611,656.3566,
44,5313013.0723,579921.7648,656.3488,
45,5313013.0711,579921.7599,656.3509,
46,5312925.0123,579859.0150,657.5672,
47,5312925.0176,579859.0081,657.5798,
48,5312925.0254,579859.0083,657.5893,
49,5312855.5213,579736.2665,657.9733,
50,5312855.5272,579736.2626,657.9833,
51,5312855.5333,579736.2594,657.9986,
52,5312719.5579,579478.9738,659.7980,
53,5312719.5538,579478.9706,659.8066,
54,5312719.5549,579478.9656,659.8160,
55,5312701.8098,579433.2902,661.1479,
